HITId;HITTypeId;Title;Description;Keywords;Reward;CreationTime;MaxAssignments;RequesterAnnotation;AssignmentDurationInSeconds;AutoApprovalDelayInSeconds;Expiration;NumberOfSimilarHITs;LifetimeInSeconds;AssignmentId;WorkerId;AssignmentStatus;AcceptTime;SubmitTime;AutoApprovalTime;ApprovalTime;RejectionTime;RequesterFeedback;WorkTimeInSeconds;LifetimeApprovalRate;Last30DaysApprovalRate;Last7DaysApprovalRate;Input.image_url;Answer.category.label;Approve;Reject
3HEA4ZVWVEA8BBUNF44PFLQJ7K455B;3UTQDPKCBFDTDK2N897UWB5PQTM51O;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:34:47 PDT 2019;5;"BatchId:3701698;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:34:47 PDT 2019;;;30BXRYBRP6LHR7RW29X9I21C2GAWHK;A3CPXID0CCAPS0;Submitted;Wed Jul 10 18:54:27 PDT 2019;Wed Jul 10 18:54:31 PDT 2019;Fri Jul 12 18:54:31 PDT 2019;;;;4;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3HEA4ZVWVEA8BBUNF44PFLQJ7K455B;3UTQDPKCBFDTDK2N897UWB5PQTM51O;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:34:47 PDT 2019;5;"BatchId:3701698;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:34:47 PDT 2019;;;32EYX73OY2XHOXGU3EU2EIIL49TRU9;A22HXPWTV7UZLT;Submitted;Wed Jul 10 18:43:47 PDT 2019;Wed Jul 10 18:43:56 PDT 2019;Fri Jul 12 18:43:56 PDT 2019;;;;9;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3HEA4ZVWVEA8BBUNF44PFLQJ7K455B;3UTQDPKCBFDTDK2N897UWB5PQTM51O;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:34:47 PDT 2019;5;"BatchId:3701698;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:34:47 PDT 2019;;;34BBWHLWHCZHN22G8RFUIE2R2TPIWZ;AKLKDS34ZAGML;Submitted;Wed Jul 10 18:53:41 PDT 2019;Wed Jul 10 18:53:47 PDT 2019;Fri Jul 12 18:53:47 PDT 2019;;;;6;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3HEA4ZVWVEA8BBUNF44PFLQJ7K455B;3UTQDPKCBFDTDK2N897UWB5PQTM51O;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:34:47 PDT 2019;5;"BatchId:3701698;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:34:47 PDT 2019;;;3DHE4R9OCYZHFVYE4JQK9V9MJ9ZG2K;APRG11FMEZCAR;Submitted;Wed Jul 10 18:45:37 PDT 2019;Wed Jul 10 18:45:46 PDT 2019;Fri Jul 12 18:45:46 PDT 2019;;;;9;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3HEA4ZVWVEA8BBUNF44PFLQJ7K455B;3UTQDPKCBFDTDK2N897UWB5PQTM51O;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:34:47 PDT 2019;5;"BatchId:3701698;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:34:47 PDT 2019;;;3ON104KXQMKNFV31N2DQODS8XBOW4Y;A15N4FMOLAOJ5F;Submitted;Wed Jul 10 18:54:14 PDT 2019;Wed Jul 10 18:54:43 PDT 2019;Fri Jul 12 18:54:43 PDT 2019;;;;29;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3D17ECOUOFJ69E600YEKXYFIH88311;3UTQDPKCBFDTDK2N897UWB5PQTM51O;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:34:47 PDT 2019;5;"BatchId:3701698;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:34:47 PDT 2019;;;34PGFRQONQZDIDMMQ90UUFHRF8AJW8;A1AZT1X95HPHM9;Submitted;Wed Jul 10 18:43:03 PDT 2019;Wed Jul 10 18:43:35 PDT 2019;Fri Jul 12 18:43:35 PDT 2019;;;;32;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
3D17ECOUOFJ69E600YEKXYFIH88311;3UTQDPKCBFDTDK2N897UWB5PQTM51O;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:34:47 PDT 2019;5;"BatchId:3701698;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:34:47 PDT 2019;;;39ASUFLU6ZVKWX5KMDLPZII6J2NXEX;AKLKDS34ZAGML;Submitted;Wed Jul 10 18:52:37 PDT 2019;Wed Jul 10 18:52:59 PDT 2019;Fri Jul 12 18:52:59 PDT 2019;;;;22;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
3D17ECOUOFJ69E600YEKXYFIH88311;3UTQDPKCBFDTDK2N897UWB5PQTM51O;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:34:47 PDT 2019;5;"BatchId:3701698;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:34:47 PDT 2019;;;39LOEL67OUTR7YOFPLS10SXG14K380;A9U083CH5ATKH;Submitted;Wed Jul 10 18:35:38 PDT 2019;Wed Jul 10 18:35:55 PDT 2019;Fri Jul 12 18:35:55 PDT 2019;;;;17;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
3D17ECOUOFJ69E600YEKXYFIH88311;3UTQDPKCBFDTDK2N897UWB5PQTM51O;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:34:47 PDT 2019;5;"BatchId:3701698;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:34:47 PDT 2019;;;3I7DHKZYGPO30SL6BIM0PHCM24Q5FB;A22HXPWTV7UZLT;Submitted;Wed Jul 10 18:44:18 PDT 2019;Wed Jul 10 18:44:27 PDT 2019;Fri Jul 12 18:44:27 PDT 2019;;;;9;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
3D17ECOUOFJ69E600YEKXYFIH88311;3UTQDPKCBFDTDK2N897UWB5PQTM51O;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:34:47 PDT 2019;5;"BatchId:3701698;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:34:47 PDT 2019;;;3R08VXYT7EJKYILKP0BXRPCIODBW7F;APRG11FMEZCAR;Submitted;Wed Jul 10 18:47:04 PDT 2019;Wed Jul 10 18:47:18 PDT 2019;Fri Jul 12 18:47:18 PDT 2019;;;;14;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
