HITId;HITTypeId;Title;Description;Keywords;Reward;CreationTime;MaxAssignments;RequesterAnnotation;AssignmentDurationInSeconds;AutoApprovalDelayInSeconds;Expiration;NumberOfSimilarHITs;LifetimeInSeconds;AssignmentId;WorkerId;AssignmentStatus;AcceptTime;SubmitTime;AutoApprovalTime;ApprovalTime;RejectionTime;RequesterFeedback;WorkTimeInSeconds;LifetimeApprovalRate;Last30DaysApprovalRate;Last7DaysApprovalRate;Input.image_url;Answer.category.label;Approve;Reject
3NOEP8XAU5QL64WG5PWY5AMKRHEXPU;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:25:56 PDT 2019;5;"BatchId:3700774;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:25:56 PDT 2019;;;30H4UDGLT46DZCV6HKZRID1CQYCPMJ;AWU522IJMK5EB;Submitted;Wed Jul 10 06:28:12 PDT 2019;Wed Jul 10 06:28:17 PDT 2019;Fri Jul 12 06:28:17 PDT 2019;;;;5;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3NOEP8XAU5QL64WG5PWY5AMKRHEXPU;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:25:56 PDT 2019;5;"BatchId:3700774;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:25:56 PDT 2019;;;3LWJHTCVCEASTE44VAA3NS7DYTMQF4;A1AQFGPACWI0RW;Submitted;Wed Jul 10 06:29:45 PDT 2019;Wed Jul 10 06:29:50 PDT 2019;Fri Jul 12 06:29:50 PDT 2019;;;;5;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3NOEP8XAU5QL64WG5PWY5AMKRHEXPU;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:25:56 PDT 2019;5;"BatchId:3700774;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:25:56 PDT 2019;;;3OLF68YTNBP06YXN6EDHXSS8UB0FAM;A3F9N2P4NUUR7S;Submitted;Wed Jul 10 06:27:22 PDT 2019;Wed Jul 10 06:27:56 PDT 2019;Fri Jul 12 06:27:56 PDT 2019;;;;34;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;None of the Above;;1
3NOEP8XAU5QL64WG5PWY5AMKRHEXPU;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:25:56 PDT 2019;5;"BatchId:3700774;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:25:56 PDT 2019;;;3Q5ZZ9ZEVQ3ULDBJ34GUFPV0FTN58Q;A16DMPOT9H3O03;Submitted;Wed Jul 10 06:29:19 PDT 2019;Wed Jul 10 06:29:24 PDT 2019;Fri Jul 12 06:29:24 PDT 2019;;;;5;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3NOEP8XAU5QL64WG5PWY5AMKRHEXPU;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:25:56 PDT 2019;5;"BatchId:3700774;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:25:56 PDT 2019;;;3ZSANO2JCHV46UJHNEZ8ISMEGH7FSI;AKMQH2MGTUWO9;Submitted;Wed Jul 10 06:28:07 PDT 2019;Wed Jul 10 06:29:52 PDT 2019;Fri Jul 12 06:29:52 PDT 2019;;;;105;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3PUOXASB58RPJCGOPIOMG52GUDV9Z9;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:25:56 PDT 2019;5;"BatchId:3700774;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:25:56 PDT 2019;;;32Z9ZLUT1N89MYIUBN6Z18OQZ7HHOL;A15AC48EPUVZIK;Submitted;Wed Jul 10 06:27:29 PDT 2019;Wed Jul 10 06:27:34 PDT 2019;Fri Jul 12 06:27:34 PDT 2019;;;;5;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
3PUOXASB58RPJCGOPIOMG52GUDV9Z9;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:25:56 PDT 2019;5;"BatchId:3700774;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:25:56 PDT 2019;;;3B3WTRP3DDQ20LB6QDKAHENZFPE29B;A1ZQ4Q7DXAE35B;Submitted;Wed Jul 10 06:29:13 PDT 2019;Wed Jul 10 06:29:27 PDT 2019;Fri Jul 12 06:29:27 PDT 2019;;;;14;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
3PUOXASB58RPJCGOPIOMG52GUDV9Z9;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:25:56 PDT 2019;5;"BatchId:3700774;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:25:56 PDT 2019;;;3G2UL9A02F2M436EYIYTTVD504S67K;A3BP890CXV4UMN;Submitted;Wed Jul 10 06:30:46 PDT 2019;Wed Jul 10 06:30:53 PDT 2019;Fri Jul 12 06:30:53 PDT 2019;;;;7;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;2x2 Matrix;;1
3PUOXASB58RPJCGOPIOMG52GUDV9Z9;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:25:56 PDT 2019;5;"BatchId:3700774;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:25:56 PDT 2019;;;3KAKFY4PGWQKW40SY74SDHRU4T0I3K;A5E2P5F1AXYZ1;Submitted;Wed Jul 10 06:28:07 PDT 2019;Wed Jul 10 06:28:14 PDT 2019;Fri Jul 12 06:28:14 PDT 2019;;;;7;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
3PUOXASB58RPJCGOPIOMG52GUDV9Z9;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:25:56 PDT 2019;5;"BatchId:3700774;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:25:56 PDT 2019;;;3LUY3GC631OUE9OJDEX2ZV4MV9HP78;A3HWIDZ2MRAKTX;Submitted;Wed Jul 10 06:27:23 PDT 2019;Wed Jul 10 06:27:28 PDT 2019;Fri Jul 12 06:27:28 PDT 2019;;;;5;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;2x2 Matrix;;1
