HITId;HITTypeId;Title;Description;Keywords;Reward;CreationTime;MaxAssignments;RequesterAnnotation;AssignmentDurationInSeconds;AutoApprovalDelayInSeconds;Expiration;NumberOfSimilarHITs;LifetimeInSeconds;AssignmentId;WorkerId;AssignmentStatus;AcceptTime;SubmitTime;AutoApprovalTime;ApprovalTime;RejectionTime;RequesterFeedback;WorkTimeInSeconds;LifetimeApprovalRate;Last30DaysApprovalRate;Last7DaysApprovalRate;Input.image_url;Answer.category.label;Approve;Reject
32ZCLEW0B08KBKRROLHXE1E5GJ0JPT;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:31:06 PDT 2019;5;"BatchId:3700796;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:31:06 PDT 2019;;;3YDGXNSEO1ICPU7JPZXKAXPMFXS48K;A15AC48EPUVZIK;Submitted;Wed Jul 10 06:31:16 PDT 2019;Wed Jul 10 06:31:19 PDT 2019;Fri Jul 12 06:31:19 PDT 2019;;;;3;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/fN7YGAY.jpg;2x2 Matrix;1;
32ZCLEW0B08KBKRROLHXE1E5GJ0JPT;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:31:06 PDT 2019;5;"BatchId:3700796;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:31:06 PDT 2019;;;3IQ1VMJRYV8R5O6A3SDPNW6XRD69AP;A2HM35CWB7IIFM;Submitted;Wed Jul 10 06:31:21 PDT 2019;Wed Jul 10 06:31:26 PDT 2019;Fri Jul 12 06:31:26 PDT 2019;;;;5;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/fN7YGAY.jpg;2x2 Matrix;1;
32ZCLEW0B08KBKRROLHXE1E5GJ0JPT;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:31:06 PDT 2019;5;"BatchId:3700796;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:31:06 PDT 2019;;;34V1S5K3GUPQIMU7DFWD7R4BVUI961;A9PT8NLPGDTOQ;Submitted;Wed Jul 10 06:37:36 PDT 2019;Wed Jul 10 06:38:39 PDT 2019;Fri Jul 12 06:38:39 PDT 2019;;;;63;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/fN7YGAY.jpg;2x2 Matrix;1;
32ZCLEW0B08KBKRROLHXE1E5GJ0JPT;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:31:06 PDT 2019;5;"BatchId:3700796;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:31:06 PDT 2019;;;36NEMU28XH13JLS7T6DMA798JVGMWC;AKMQH2MGTUWO9;Submitted;Wed Jul 10 06:31:30 PDT 2019;Wed Jul 10 06:31:36 PDT 2019;Fri Jul 12 06:31:36 PDT 2019;;;;6;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/fN7YGAY.jpg;None of the Above;;1
32ZCLEW0B08KBKRROLHXE1E5GJ0JPT;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:31:06 PDT 2019;5;"BatchId:3700796;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:31:06 PDT 2019;;;3TUI152ZZDB13ZAWOBVIYQ3JXJ41QF;AWU522IJMK5EB;Submitted;Wed Jul 10 06:31:14 PDT 2019;Wed Jul 10 06:31:17 PDT 2019;Fri Jul 12 06:31:17 PDT 2019;;;;3;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/fN7YGAY.jpg;2x2 Matrix;1;
39TX062QX2CEZFRT7RZRS7JJMLO3XQ;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:31:06 PDT 2019;5;"BatchId:3700796;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:31:06 PDT 2019;;;34V1S5K3GUPQIMU7DFWD7R4BVUG96Z;A15AC48EPUVZIK;Submitted;Wed Jul 10 06:31:12 PDT 2019;Wed Jul 10 06:31:16 PDT 2019;Fri Jul 12 06:31:16 PDT 2019;;;;4;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/ba4g1gw.jpg;None of the Above;1;
39TX062QX2CEZFRT7RZRS7JJMLO3XQ;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:31:06 PDT 2019;5;"BatchId:3700796;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:31:06 PDT 2019;;;3BEFOD78W8HRAJ9NJ073FFQHZ2HM4Q;A16DMPOT9H3O03;Submitted;Wed Jul 10 06:31:14 PDT 2019;Wed Jul 10 06:31:18 PDT 2019;Fri Jul 12 06:31:18 PDT 2019;;;;4;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/ba4g1gw.jpg;None of the Above;1;
39TX062QX2CEZFRT7RZRS7JJMLO3XQ;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:31:06 PDT 2019;5;"BatchId:3700796;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:31:06 PDT 2019;;;3K9FOBBF2J7TQ9181TLKEBHSQEOLNK;A3HWIDZ2MRAKTX;Submitted;Wed Jul 10 06:39:32 PDT 2019;Wed Jul 10 06:40:25 PDT 2019;Fri Jul 12 06:40:25 PDT 2019;;;;53;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/ba4g1gw.jpg;None of the Above;1;
39TX062QX2CEZFRT7RZRS7JJMLO3XQ;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:31:06 PDT 2019;5;"BatchId:3700796;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:31:06 PDT 2019;;;3137ONMDKIT9ABAUX3LLBWIBG5ZEGG;A9PT8NLPGDTOQ;Submitted;Wed Jul 10 06:31:12 PDT 2019;Wed Jul 10 06:32:07 PDT 2019;Fri Jul 12 06:32:07 PDT 2019;;;;55;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/ba4g1gw.jpg;None of the Above;1;
39TX062QX2CEZFRT7RZRS7JJMLO3XQ;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 06:31:06 PDT 2019;5;"BatchId:3700796;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 06:31:06 PDT 2019;;;3VHP9MDGRP8OZDULQS983NIWUEMCFM;AKMQH2MGTUWO9;Submitted;Wed Jul 10 06:31:23 PDT 2019;Wed Jul 10 06:31:29 PDT 2019;Fri Jul 12 06:31:29 PDT 2019;;;;6;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/ba4g1gw.jpg;None of the Above;1;
