HITId;HITTypeId;Title;Description;Keywords;Reward;CreationTime;MaxAssignments;RequesterAnnotation;AssignmentDurationInSeconds;AutoApprovalDelayInSeconds;Expiration;NumberOfSimilarHITs;LifetimeInSeconds;AssignmentId;WorkerId;AssignmentStatus;AcceptTime;SubmitTime;AutoApprovalTime;ApprovalTime;RejectionTime;RequesterFeedback;WorkTimeInSeconds;LifetimeApprovalRate;Last30DaysApprovalRate;Last7DaysApprovalRate;Input.image_url;Answer.category.label;Approve;Reject
3VMV5CHJZ938CAUXXW5EMYNMDU9TG9;3TZJMY6N8OI54369EL7U1INRJOZ7G4;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 07:14:39 PDT 2019;5;"BatchId:3700855;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 07:14:39 PDT 2019;;;36V4Q8R5ZMOYZOWLHXEGIIRMVVMQM1;A10443E11ZWEHJ;Approved;Wed Jul 10 08:12:08 PDT 2019;Wed Jul 10 08:12:24 PDT 2019;Fri Jul 12 08:12:24 PDT 2019;Fri Jul 12 08:13:08 PDT 2019;;;16;100% (15/15);100% (15/15);100% (15/15);https://i.imgur.com/MRDW3Gr.png;None of the Above;1;
3VMV5CHJZ938CAUXXW5EMYNMDU9TG9;3TZJMY6N8OI54369EL7U1INRJOZ7G4;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 07:14:39 PDT 2019;5;"BatchId:3700855;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 07:14:39 PDT 2019;;;37ZHEEHM6YAN7KJWFG0VMS1LQE573W;A2HM35CWB7IIFM;Approved;Wed Jul 10 07:29:53 PDT 2019;Wed Jul 10 07:29:57 PDT 2019;Fri Jul 12 07:29:57 PDT 2019;Fri Jul 12 07:30:08 PDT 2019;;;4;100% (22/22);100% (22/22);100% (22/22);https://i.imgur.com/MRDW3Gr.png;None of the Above;1;
3VMV5CHJZ938CAUXXW5EMYNMDU9TG9;3TZJMY6N8OI54369EL7U1INRJOZ7G4;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 07:14:39 PDT 2019;5;"BatchId:3700855;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 07:14:39 PDT 2019;;;3IXQG4FA2VMWOYB296DLI7Q39WDB9A;A3B67I3A0YR2D;Approved;Wed Jul 10 08:02:46 PDT 2019;Wed Jul 10 08:05:50 PDT 2019;Fri Jul 12 08:05:50 PDT 2019;Fri Jul 12 08:06:08 PDT 2019;;;184;100% (19/19);100% (19/19);100% (19/19);https://i.imgur.com/MRDW3Gr.png;None of the Above;1;
3VMV5CHJZ938CAUXXW5EMYNMDU9TG9;3TZJMY6N8OI54369EL7U1INRJOZ7G4;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 07:14:39 PDT 2019;5;"BatchId:3700855;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 07:14:39 PDT 2019;;;3KAKFY4PGWQKW40SY74SDHRU46FI3P;A1NYV6LPHCYADS;Submitted;Thu Jul 11 15:28:15 PDT 2019;Thu Jul 11 15:28:21 PDT 2019;Sat Jul 13 15:28:21 PDT 2019;;;;6;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/MRDW3Gr.png;Unpacking Table;;1
3CESM1J3EJRY7Y9LGO13XRHWNAOW60;3TZJMY6N8OI54369EL7U1INRJOZ7G4;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 07:14:39 PDT 2019;5;"BatchId:3700855;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 07:14:39 PDT 2019;;;326O153BMKM6YR03VDKD5BFE3E5DET;A3B67I3A0YR2D;Approved;Wed Jul 10 08:02:06 PDT 2019;Wed Jul 10 08:02:14 PDT 2019;Fri Jul 12 08:02:14 PDT 2019;Fri Jul 12 08:03:08 PDT 2019;;;8;100% (19/19);100% (19/19);100% (19/19);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3CESM1J3EJRY7Y9LGO13XRHWNAOW60;3TZJMY6N8OI54369EL7U1INRJOZ7G4;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 07:14:39 PDT 2019;5;"BatchId:3700855;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 07:14:39 PDT 2019;;;3R2UR8A0IC468OI9GROL4UCKNYEXOA;A2HM35CWB7IIFM;Approved;Wed Jul 10 07:25:23 PDT 2019;Wed Jul 10 07:25:27 PDT 2019;Fri Jul 12 07:25:27 PDT 2019;Fri Jul 12 07:26:08 PDT 2019;;;4;100% (22/22);100% (22/22);100% (22/22);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3CESM1J3EJRY7Y9LGO13XRHWNAOW60;3TZJMY6N8OI54369EL7U1INRJOZ7G4;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 07:14:39 PDT 2019;5;"BatchId:3700855;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 07:14:39 PDT 2019;;;3R5F3LQFV48VDJIOH9C61FSVVYFZOC;A356EVHB3TU90R;Approved;Wed Jul 10 07:37:53 PDT 2019;Wed Jul 10 07:37:57 PDT 2019;Fri Jul 12 07:37:57 PDT 2019;Fri Jul 12 07:38:08 PDT 2019;;;4;100% (14/14);100% (14/14);100% (14/14);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3CESM1J3EJRY7Y9LGO13XRHWNAOW60;3TZJMY6N8OI54369EL7U1INRJOZ7G4;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 07:14:39 PDT 2019;5;"BatchId:3700855;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 07:14:39 PDT 2019;;;3UXUOQ9OKGLNR5IHOVF590FRWOU7AP;A20PV3RB3I0W8S;Approved;Wed Jul 10 07:15:55 PDT 2019;Wed Jul 10 07:16:07 PDT 2019;Fri Jul 12 07:16:07 PDT 2019;Fri Jul 12 07:16:08 PDT 2019;;;12;100% (21/21);100% (21/21);100% (21/21);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3CESM1J3EJRY7Y9LGO13XRHWNAOW60;3TZJMY6N8OI54369EL7U1INRJOZ7G4;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 07:14:39 PDT 2019;5;"BatchId:3700855;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 07:14:39 PDT 2019;;;3ZSANO2JCHV46UJHNEZ8ISMEGIMFSZ;A194R45ACMQEOR;Approved;Wed Jul 10 07:26:37 PDT 2019;Wed Jul 10 07:26:55 PDT 2019;Fri Jul 12 07:26:55 PDT 2019;Fri Jul 12 07:27:08 PDT 2019;;;18;100% (13/13);100% (13/13);100% (13/13);https://i.imgur.com/N0pf70Y.jpg;Unpacking Table;;1
3MWOYZD5WWCY9A6BOJWAI8QWFYEONQ;3TZJMY6N8OI54369EL7U1INRJOZ7G4;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 07:14:39 PDT 2019;5;"BatchId:3700855;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 07:14:39 PDT 2019;;;339ANSOTR7QQS28ZJDWRU38WFG4IKF;A356EVHB3TU90R;Approved;Wed Jul 10 07:39:33 PDT 2019;Wed Jul 10 07:39:37 PDT 2019;Fri Jul 12 07:39:37 PDT 2019;Fri Jul 12 07:40:08 PDT 2019;;;4;100% (14/14);100% (14/14);100% (14/14);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
