HITId;HITTypeId;Title;Description;Keywords;Reward;CreationTime;MaxAssignments;RequesterAnnotation;AssignmentDurationInSeconds;AutoApprovalDelayInSeconds;Expiration;NumberOfSimilarHITs;LifetimeInSeconds;AssignmentId;WorkerId;AssignmentStatus;AcceptTime;SubmitTime;AutoApprovalTime;ApprovalTime;RejectionTime;RequesterFeedback;WorkTimeInSeconds;LifetimeApprovalRate;Last30DaysApprovalRate;Last7DaysApprovalRate;Input.image_url;Answer.category.label;Approve;Reject
3QX22DUVOP5NHCU8DU3O0LV463WVMY;3JH21YRKZ801DUWQ1S7OJG5K32BJ0L;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:40:23 PDT 2019;5;"BatchId:3701707;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:40:23 PDT 2019;;;33L7PJKHCIMW6FM940YSI51EV3ZT89;A1QXU4Q3CK75FK;Submitted;Wed Jul 10 18:45:41 PDT 2019;Wed Jul 10 18:45:54 PDT 2019;Fri Jul 12 18:45:54 PDT 2019;;;;13;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3QX22DUVOP5NHCU8DU3O0LV463WVMY;3JH21YRKZ801DUWQ1S7OJG5K32BJ0L;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:40:23 PDT 2019;5;"BatchId:3701707;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:40:23 PDT 2019;;;3EO896NRAYJLQWISV4VJ7VASBESJTI;AKLKDS34ZAGML;Submitted;Wed Jul 10 18:43:01 PDT 2019;Wed Jul 10 18:43:09 PDT 2019;Fri Jul 12 18:43:09 PDT 2019;;;;8;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3QX22DUVOP5NHCU8DU3O0LV463WVMY;3JH21YRKZ801DUWQ1S7OJG5K32BJ0L;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:40:23 PDT 2019;5;"BatchId:3701707;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:40:23 PDT 2019;;;3I2PTA7R3VI390WIWL1035ZI6WWKQ7;A2XG8QPLTDI6N4;Submitted;Wed Jul 10 18:52:38 PDT 2019;Wed Jul 10 18:52:47 PDT 2019;Fri Jul 12 18:52:47 PDT 2019;;;;9;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;Unpacking Table;;1
3QX22DUVOP5NHCU8DU3O0LV463WVMY;3JH21YRKZ801DUWQ1S7OJG5K32BJ0L;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:40:23 PDT 2019;5;"BatchId:3701707;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:40:23 PDT 2019;;;3PZDLQMM0V94YJI92XU1J4O7LH82CX;AU76BTADWVVT0;Submitted;Wed Jul 10 18:47:34 PDT 2019;Wed Jul 10 18:48:04 PDT 2019;Fri Jul 12 18:48:04 PDT 2019;;;;30;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3QX22DUVOP5NHCU8DU3O0LV463WVMY;3JH21YRKZ801DUWQ1S7OJG5K32BJ0L;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:40:23 PDT 2019;5;"BatchId:3701707;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:40:23 PDT 2019;;;3VA45EW49PBYINXG9Y3E9L8JIPBO1X;ARN8L3JVVNK6X;Submitted;Wed Jul 10 18:42:37 PDT 2019;Wed Jul 10 18:42:55 PDT 2019;Fri Jul 12 18:42:55 PDT 2019;;;;18;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3EHIMLB7F8N3EMXKE4C1G230EJWH86;3JH21YRKZ801DUWQ1S7OJG5K32BJ0L;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:40:23 PDT 2019;5;"BatchId:3701707;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:40:23 PDT 2019;;;32VNZTT0A9SI7ZMFO83K1EKR5W74R1;A3IAR8MXGL9CH5;Submitted;Wed Jul 10 18:47:46 PDT 2019;Wed Jul 10 18:47:53 PDT 2019;Fri Jul 12 18:47:53 PDT 2019;;;;7;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
3EHIMLB7F8N3EMXKE4C1G230EJWH86;3JH21YRKZ801DUWQ1S7OJG5K32BJ0L;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:40:23 PDT 2019;5;"BatchId:3701707;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:40:23 PDT 2019;;;3DI28L7YXC2C6WKRFK0I49E5EN61E7;A1H4GJFI4NJWKV;Submitted;Wed Jul 10 18:42:54 PDT 2019;Wed Jul 10 18:42:59 PDT 2019;Fri Jul 12 18:42:59 PDT 2019;;;;5;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
3EHIMLB7F8N3EMXKE4C1G230EJWH86;3JH21YRKZ801DUWQ1S7OJG5K32BJ0L;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:40:23 PDT 2019;5;"BatchId:3701707;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:40:23 PDT 2019;;;3GS6S824SSL913D757SMNMY8OSFWNP;A2F5NCG5YURL0U;Submitted;Wed Jul 10 18:43:39 PDT 2019;Wed Jul 10 18:43:43 PDT 2019;Fri Jul 12 18:43:43 PDT 2019;;;;4;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
3EHIMLB7F8N3EMXKE4C1G230EJWH86;3JH21YRKZ801DUWQ1S7OJG5K32BJ0L;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:40:23 PDT 2019;5;"BatchId:3701707;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:40:23 PDT 2019;;;3TOK3KHVJV6CT9CIYEKNAVZWLBBO7U;AKLKDS34ZAGML;Submitted;Wed Jul 10 18:42:44 PDT 2019;Wed Jul 10 18:42:50 PDT 2019;Fri Jul 12 18:42:50 PDT 2019;;;;6;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
3EHIMLB7F8N3EMXKE4C1G230EJWH86;3JH21YRKZ801DUWQ1S7OJG5K32BJ0L;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 18:40:23 PDT 2019;5;"BatchId:3701707;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 18:40:23 PDT 2019;;;3WYP994K19F5JN2FLROT68X24AQY6G;A1QXU4Q3CK75FK;Submitted;Wed Jul 10 18:45:04 PDT 2019;Wed Jul 10 18:45:20 PDT 2019;Fri Jul 12 18:45:20 PDT 2019;;;;16;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
