HITId;HITTypeId;Title;Description;Keywords;Reward;CreationTime;MaxAssignments;RequesterAnnotation;AssignmentDurationInSeconds;AutoApprovalDelayInSeconds;Expiration;NumberOfSimilarHITs;LifetimeInSeconds;AssignmentId;WorkerId;AssignmentStatus;AcceptTime;SubmitTime;AutoApprovalTime;ApprovalTime;RejectionTime;RequesterFeedback;WorkTimeInSeconds;LifetimeApprovalRate;Last30DaysApprovalRate;Last7DaysApprovalRate;Input.image_url;Answer.category.label;Approve;Reject
3LVTFB9DE66VKU25GSBJHTCZTN0GQ8;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 04:42:11 PDT 2019;5;"BatchId:3700701;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 04:42:11 PDT 2019;;;326O153BMKM6YR03VDKD5BFE3D9DEV;A1K3VX89YYOB4S;Submitted;Wed Jul 10 04:44:07 PDT 2019;Wed Jul 10 04:44:31 PDT 2019;Fri Jul 12 04:44:31 PDT 2019;;;;24;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;x;
3LVTFB9DE66VKU25GSBJHTCZTN0GQ8;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 04:42:11 PDT 2019;5;"BatchId:3700701;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 04:42:11 PDT 2019;;;369J354OFFY5XWHFRL2NZ8QYZ71G6N;AKMQH2MGTUWO9;Submitted;Wed Jul 10 04:43:45 PDT 2019;Wed Jul 10 04:44:04 PDT 2019;Fri Jul 12 04:44:04 PDT 2019;;;;19;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;x;
3LVTFB9DE66VKU25GSBJHTCZTN0GQ8;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 04:42:11 PDT 2019;5;"BatchId:3700701;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 04:42:11 PDT 2019;;;3LQ8PUHQFNGZQC7RDSTUHBS4NY9HIH;AHFXFVCQGRZPV;Submitted;Wed Jul 10 04:44:43 PDT 2019;Wed Jul 10 04:44:53 PDT 2019;Fri Jul 12 04:44:53 PDT 2019;;;;10;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;Unpacking Table;;x
3LVTFB9DE66VKU25GSBJHTCZTN0GQ8;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 04:42:11 PDT 2019;5;"BatchId:3700701;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 04:42:11 PDT 2019;;;3SEPORI8WPN6BFON7Q7O0K8Q6GKZAK;A20SI2XSAHUXP4;Submitted;Wed Jul 10 04:43:06 PDT 2019;Wed Jul 10 04:44:08 PDT 2019;Fri Jul 12 04:44:08 PDT 2019;;;;62;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;Unpacking Table;;x
3LVTFB9DE66VKU25GSBJHTCZTN0GQ8;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 04:42:11 PDT 2019;5;"BatchId:3700701;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 04:42:11 PDT 2019;;;3TK8OJTYM39WPZPFVC0I59KPHRFVPX;AEACA7THUTQLQ;Submitted;Wed Jul 10 04:44:53 PDT 2019;Wed Jul 10 04:44:59 PDT 2019;Fri Jul 12 04:44:59 PDT 2019;;;;6;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;x;
3BFNCI9LYLEKK0L2PEVTY86VKS337P;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 04:42:11 PDT 2019;5;"BatchId:3700701;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 04:42:11 PDT 2019;;;3570Y55XZR77GGRLX4XFIZARYHUGYN;AKMQH2MGTUWO9;Submitted;Wed Jul 10 04:44:10 PDT 2019;Wed Jul 10 04:44:22 PDT 2019;Fri Jul 12 04:44:22 PDT 2019;;;;12;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;x;
3BFNCI9LYLEKK0L2PEVTY86VKS337P;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 04:42:11 PDT 2019;5;"BatchId:3700701;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 04:42:11 PDT 2019;;;35GMH2SV3G5X2ORSLMYTG5RD7RGOE3;A3JF2YPCDQDLMP;Submitted;Wed Jul 10 04:44:22 PDT 2019;Wed Jul 10 04:44:26 PDT 2019;Fri Jul 12 04:44:26 PDT 2019;;;;4;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;x;
3BFNCI9LYLEKK0L2PEVTY86VKS337P;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 04:42:11 PDT 2019;5;"BatchId:3700701;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 04:42:11 PDT 2019;;;3K5TEWLKGXZ48D2BIHAYWCJDVDKVIL;AEACA7THUTQLQ;Submitted;Wed Jul 10 04:44:31 PDT 2019;Wed Jul 10 04:44:46 PDT 2019;Fri Jul 12 04:44:46 PDT 2019;;;;15;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;x;
3BFNCI9LYLEKK0L2PEVTY86VKS337P;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 04:42:11 PDT 2019;5;"BatchId:3700701;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 04:42:11 PDT 2019;;;3LEIZ60CDLNS6WEIFKTO4PX60Y49ZH;ATEWATSZJIDBW;Submitted;Wed Jul 10 04:50:27 PDT 2019;Wed Jul 10 04:51:26 PDT 2019;Fri Jul 12 04:51:26 PDT 2019;;;;59;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;x;
3BFNCI9LYLEKK0L2PEVTY86VKS337P;3CZ46AGKHPCCHJUU6AMRP9TJ5ZLOMJ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.01;Wed Jul 10 04:42:11 PDT 2019;5;"BatchId:3700701;OriginalHitTemplateId:928390873;";300;172800;Sun Jul 14 04:42:11 PDT 2019;;;3U088ZLJVMH6G7L041QOCA2VGS50W5;A3M42E8K53GUQA;Submitted;Wed Jul 10 04:44:46 PDT 2019;Wed Jul 10 04:45:17 PDT 2019;Fri Jul 12 04:45:17 PDT 2019;;;;31;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;x;
