HITId;HITTypeId;Title;Description;Keywords;Reward;CreationTime;MaxAssignments;RequesterAnnotation;AssignmentDurationInSeconds;AutoApprovalDelayInSeconds;Expiration;NumberOfSimilarHITs;LifetimeInSeconds;AssignmentId;WorkerId;AssignmentStatus;AcceptTime;SubmitTime;AutoApprovalTime;ApprovalTime;RejectionTime;RequesterFeedback;WorkTimeInSeconds;LifetimeApprovalRate;Last30DaysApprovalRate;Last7DaysApprovalRate;Input.image_url;Answer.category.label;Approve;Reject
3JTPR5MTZT0BTUFQMR8VHA914E45K9;3XMQ3UBY15V4A5QG87WT5ULYPZ0ZLY;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Fri Jul 12 14:25:26 PDT 2019;5;"BatchId:3703741;OriginalHitTemplateId:928390873;";300;172800;Tue Jul 16 14:25:26 PDT 2019;;;30MVJZJNHO126H9EXYQ2GV9GHNLJ9A;A34D4IVRN933FJ;Submitted;Fri Jul 12 16:01:53 PDT 2019;Fri Jul 12 16:02:00 PDT 2019;Sun Jul 14 16:02:00 PDT 2019;;;;7;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3JTPR5MTZT0BTUFQMR8VHA914E45K9;3XMQ3UBY15V4A5QG87WT5ULYPZ0ZLY;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Fri Jul 12 14:25:26 PDT 2019;5;"BatchId:3703741;OriginalHitTemplateId:928390873;";300;172800;Tue Jul 16 14:25:26 PDT 2019;;;32AT8R96GNXTPCG7I3U74SNHQPFUSV;A2EDER9628S0A;Submitted;Fri Jul 12 14:34:53 PDT 2019;Fri Jul 12 14:35:10 PDT 2019;Sun Jul 14 14:35:10 PDT 2019;;;;17;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3JTPR5MTZT0BTUFQMR8VHA914E45K9;3XMQ3UBY15V4A5QG87WT5ULYPZ0ZLY;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Fri Jul 12 14:25:26 PDT 2019;5;"BatchId:3703741;OriginalHitTemplateId:928390873;";300;172800;Tue Jul 16 14:25:26 PDT 2019;;;3HPZF4IVNOHUZ4BGVI1WS8PC0BTCY8;A37WXDYYT7RCZ0;Submitted;Fri Jul 12 15:03:08 PDT 2019;Fri Jul 12 15:03:40 PDT 2019;Sun Jul 14 15:03:40 PDT 2019;;;;32;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3JTPR5MTZT0BTUFQMR8VHA914E45K9;3XMQ3UBY15V4A5QG87WT5ULYPZ0ZLY;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Fri Jul 12 14:25:26 PDT 2019;5;"BatchId:3703741;OriginalHitTemplateId:928390873;";300;172800;Tue Jul 16 14:25:26 PDT 2019;;;3T111IHZ5GEJ45SR53ZBIMV7R319RC;A1Y3VYHOYKZ1D7;Submitted;Fri Jul 12 14:48:54 PDT 2019;Fri Jul 12 14:49:00 PDT 2019;Sun Jul 14 14:49:00 PDT 2019;;;;6;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3JTPR5MTZT0BTUFQMR8VHA914E45K9;3XMQ3UBY15V4A5QG87WT5ULYPZ0ZLY;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Fri Jul 12 14:25:26 PDT 2019;5;"BatchId:3703741;OriginalHitTemplateId:928390873;";300;172800;Tue Jul 16 14:25:26 PDT 2019;;;3ZAK8W07I62TO3WV91BNUMHYVYN0U7;A2ESBX4C2Q6TQY;Submitted;Fri Jul 12 15:06:14 PDT 2019;Fri Jul 12 15:06:19 PDT 2019;Sun Jul 14 15:06:19 PDT 2019;;;;5;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/N0pf70Y.jpg;2x2 Matrix;1;
3PUV2Q8SV5S544QPVKDLGJE3U1TDB5;3XMQ3UBY15V4A5QG87WT5ULYPZ0ZLY;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Fri Jul 12 14:25:26 PDT 2019;5;"BatchId:3703741;OriginalHitTemplateId:928390873;";300;172800;Tue Jul 16 14:25:26 PDT 2019;;;36DSNE9QZ7M5D4DKZN9KDL45CKJJOW;A2EDER9628S0A;Submitted;Fri Jul 12 14:36:49 PDT 2019;Fri Jul 12 14:37:00 PDT 2019;Sun Jul 14 14:37:00 PDT 2019;;;;11;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
3PUV2Q8SV5S544QPVKDLGJE3U1TDB5;3XMQ3UBY15V4A5QG87WT5ULYPZ0ZLY;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Fri Jul 12 14:25:26 PDT 2019;5;"BatchId:3703741;OriginalHitTemplateId:928390873;";300;172800;Tue Jul 16 14:25:26 PDT 2019;;;3K772S5NPAZNA755H933WWUCVQEHEQ;AKSJ3C5O3V9RB;Submitted;Fri Jul 12 14:43:03 PDT 2019;Fri Jul 12 14:43:13 PDT 2019;Sun Jul 14 14:43:13 PDT 2019;;;;10;98% (62/63);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
3PUV2Q8SV5S544QPVKDLGJE3U1TDB5;3XMQ3UBY15V4A5QG87WT5ULYPZ0ZLY;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Fri Jul 12 14:25:26 PDT 2019;5;"BatchId:3703741;OriginalHitTemplateId:928390873;";300;172800;Tue Jul 16 14:25:26 PDT 2019;;;3W92K5RLWW5SWP7WBXR473F8QD45VJ;A37WXDYYT7RCZ0;Submitted;Fri Jul 12 15:02:20 PDT 2019;Fri Jul 12 15:03:08 PDT 2019;Sun Jul 14 15:03:08 PDT 2019;;;;48;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
3PUV2Q8SV5S544QPVKDLGJE3U1TDB5;3XMQ3UBY15V4A5QG87WT5ULYPZ0ZLY;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Fri Jul 12 14:25:26 PDT 2019;5;"BatchId:3703741;OriginalHitTemplateId:928390873;";300;172800;Tue Jul 16 14:25:26 PDT 2019;;;3Y54SXRO1N9U4CTM73ZXEXJ3S8RTUH;A2MCG5W6LHSRG9;Submitted;Fri Jul 12 14:27:09 PDT 2019;Fri Jul 12 14:27:16 PDT 2019;Sun Jul 14 14:27:16 PDT 2019;;;;7;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
3PUV2Q8SV5S544QPVKDLGJE3U1TDB5;3XMQ3UBY15V4A5QG87WT5ULYPZ0ZLY;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Fri Jul 12 14:25:26 PDT 2019;5;"BatchId:3703741;OriginalHitTemplateId:928390873;";300;172800;Tue Jul 16 14:25:26 PDT 2019;;;3YHH42UU5D3Q5D910NJM3ZLFI6F0LW;A1Y3VYHOYKZ1D7;Submitted;Fri Jul 12 14:45:03 PDT 2019;Fri Jul 12 14:45:12 PDT 2019;Sun Jul 14 14:45:12 PDT 2019;;;;9;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/kFXZnQg.jpg;None of the Above;1;
