HITId;HITTypeId;Title;Description;Keywords;Reward;CreationTime;MaxAssignments;RequesterAnnotation;AssignmentDurationInSeconds;AutoApprovalDelayInSeconds;Expiration;NumberOfSimilarHITs;LifetimeInSeconds;AssignmentId;WorkerId;AssignmentStatus;AcceptTime;SubmitTime;AutoApprovalTime;ApprovalTime;RejectionTime;RequesterFeedback;WorkTimeInSeconds;LifetimeApprovalRate;Last30DaysApprovalRate;Last7DaysApprovalRate;Input.image_url;Answer.category.label;Approve;Reject
30EMX9PEVL7CZWD1YNL3ALJUMIJKS7;3D9187VUCN8LY5O0HH08WMER6DRUIQ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Mon Sep 09 16:13:35 PDT 2019;5;"BatchId:3761653;OriginalHitTemplateId:928390873;";300;172800;Fri Sep 13 16:13:35 PDT 2019;;;3CP1TO84PVPJZY9UNN7T5YIX4MI254;A1IQ8YHTZLFEVG;Submitted;Mon Sep 09 16:22:21 PDT 2019;Mon Sep 09 16:22:26 PDT 2019;Wed Sep 11 16:22:26 PDT 2019;;;;5;100% (1/1);100% (1/1);100% (1/1);https://i.imgur.com/tg9qxhO.jpg;2x2 Matrix;1;
30EMX9PEVL7CZWD1YNL3ALJUMIJKS7;3D9187VUCN8LY5O0HH08WMER6DRUIQ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Mon Sep 09 16:13:35 PDT 2019;5;"BatchId:3761653;OriginalHitTemplateId:928390873;";300;172800;Fri Sep 13 16:13:35 PDT 2019;;;3KRVW3HTZP9AC4BY913LDI6NOB7MSH;AJFS39RTZY3LC;Submitted;Mon Sep 09 16:29:05 PDT 2019;Mon Sep 09 16:29:31 PDT 2019;Wed Sep 11 16:29:31 PDT 2019;;;;26;100% (2/2);100% (1/1);100% (1/1);https://i.imgur.com/tg9qxhO.jpg;2x2 Matrix;1;
30EMX9PEVL7CZWD1YNL3ALJUMIJKS7;3D9187VUCN8LY5O0HH08WMER6DRUIQ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Mon Sep 09 16:13:35 PDT 2019;5;"BatchId:3761653;OriginalHitTemplateId:928390873;";300;172800;Fri Sep 13 16:13:35 PDT 2019;;;3NAPMVF0ZY3YM2NDBGMQ3IWTVSD27J;A2HM35CWB7IIFM;Submitted;Mon Sep 09 16:22:23 PDT 2019;Mon Sep 09 16:22:27 PDT 2019;Wed Sep 11 16:22:27 PDT 2019;;;;4;100% (93/93);100% (1/1);100% (1/1);https://i.imgur.com/tg9qxhO.jpg;2x2 Matrix;1;
30EMX9PEVL7CZWD1YNL3ALJUMIJKS7;3D9187VUCN8LY5O0HH08WMER6DRUIQ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Mon Sep 09 16:13:35 PDT 2019;5;"BatchId:3761653;OriginalHitTemplateId:928390873;";300;172800;Fri Sep 13 16:13:35 PDT 2019;;;3QRYMNZ7F05H9M9DA2NB02R9VKVNT7;AIQ1I6ODSIO56;Submitted;Mon Sep 09 16:25:55 PDT 2019;Mon Sep 09 16:26:01 PDT 2019;Wed Sep 11 16:26:01 PDT 2019;;;;6;100% (1/1);100% (1/1);100% (1/1);https://i.imgur.com/tg9qxhO.jpg;2x2 Matrix;1;
30EMX9PEVL7CZWD1YNL3ALJUMIJKS7;3D9187VUCN8LY5O0HH08WMER6DRUIQ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Mon Sep 09 16:13:35 PDT 2019;5;"BatchId:3761653;OriginalHitTemplateId:928390873;";300;172800;Fri Sep 13 16:13:35 PDT 2019;;;3STRJBFXOYFG1GOADPVV8AA51PPTK7;A1FQGVP8SX5WE2;Submitted;Mon Sep 09 16:20:17 PDT 2019;Mon Sep 09 16:22:16 PDT 2019;Wed Sep 11 16:22:16 PDT 2019;;;;119;100% (1/1);100% (1/1);100% (1/1);https://i.imgur.com/tg9qxhO.jpg;2x2 Matrix;1;
3SA4EMRVJWQD9EQ52D7RWWZAL06P0Q;3D9187VUCN8LY5O0HH08WMER6DRUIQ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Mon Sep 09 16:13:43 PDT 2019;5;"BatchId:3761654;OriginalHitTemplateId:928390873;";300;172800;Fri Sep 13 16:13:43 PDT 2019;;;3018Q3ZVOKEX9O2WX9DBEH6R8SYARW;A2HM35CWB7IIFM;Submitted;Mon Sep 09 16:16:35 PDT 2019;Mon Sep 09 16:16:43 PDT 2019;Wed Sep 11 16:16:43 PDT 2019;;;;8;100% (93/93);100% (1/1);100% (1/1);https://i.imgur.com/OzQRxgq.jpg;2x2 Matrix;1;
3SA4EMRVJWQD9EQ52D7RWWZAL06P0Q;3D9187VUCN8LY5O0HH08WMER6DRUIQ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Mon Sep 09 16:13:43 PDT 2019;5;"BatchId:3761654;OriginalHitTemplateId:928390873;";300;172800;Fri Sep 13 16:13:43 PDT 2019;;;31EUONYN2XRE4ZDEGCN3G9FZIFFOV2;A1IQ8YHTZLFEVG;Submitted;Mon Sep 09 16:20:32 PDT 2019;Mon Sep 09 16:20:37 PDT 2019;Wed Sep 11 16:20:37 PDT 2019;;;;5;100% (1/1);100% (1/1);100% (1/1);https://i.imgur.com/OzQRxgq.jpg;2x2 Matrix;1;
3SA4EMRVJWQD9EQ52D7RWWZAL06P0Q;3D9187VUCN8LY5O0HH08WMER6DRUIQ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Mon Sep 09 16:13:43 PDT 2019;5;"BatchId:3761654;OriginalHitTemplateId:928390873;";300;172800;Fri Sep 13 16:13:43 PDT 2019;;;3483FV8BEG7FI298S6HYX4WX0HT62O;AIQ1I6ODSIO56;Submitted;Mon Sep 09 16:25:05 PDT 2019;Mon Sep 09 16:25:11 PDT 2019;Wed Sep 11 16:25:11 PDT 2019;;;;6;100% (1/1);100% (1/1);100% (1/1);https://i.imgur.com/OzQRxgq.jpg;2x2 Matrix;1;
3SA4EMRVJWQD9EQ52D7RWWZAL06P0Q;3D9187VUCN8LY5O0HH08WMER6DRUIQ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Mon Sep 09 16:13:43 PDT 2019;5;"BatchId:3761654;OriginalHitTemplateId:928390873;";300;172800;Fri Sep 13 16:13:43 PDT 2019;;;3MD9PLUKKK2DVYICGUCTMQSQGGFZNX;A1FVXS8IM5QYO8;Submitted;Mon Sep 09 16:15:00 PDT 2019;Mon Sep 09 16:15:15 PDT 2019;Wed Sep 11 16:15:15 PDT 2019;;;;15;0% (0/0);0% (0/0);0% (0/0);https://i.imgur.com/OzQRxgq.jpg;2x2 Matrix;1;
3SA4EMRVJWQD9EQ52D7RWWZAL06P0Q;3D9187VUCN8LY5O0HH08WMER6DRUIQ;Pick one out of three categories;Categorize the given image based on the provided examples.;categorize, image, classification, classify;$0.10;Mon Sep 09 16:13:43 PDT 2019;5;"BatchId:3761654;OriginalHitTemplateId:928390873;";300;172800;Fri Sep 13 16:13:43 PDT 2019;;;3OE22WJIGKCHCW1UQZ529S8GJ9OQUN;A1FQGVP8SX5WE2;Submitted;Mon Sep 09 16:19:54 PDT 2019;Mon Sep 09 16:20:23 PDT 2019;Wed Sep 11 16:20:23 PDT 2019;;;;29;100% (1/1);100% (1/1);100% (1/1);https://i.imgur.com/OzQRxgq.jpg;2x2 Matrix;1;
